country_iso_name,name_1,name_2,year,month
United Kingdom,England,Barking and Dagenham,2023,12
United Kingdom,England,Bath and North East Somerset,2023,12
United Kingdom,England,Bedfordshire,2023,12
United Kingdom,England,Berkshire,2023,12
United Kingdom,England,Bexley,2023,12
United Kingdom,England,Blackburn with Darwen,2023,12
United Kingdom,England,Bournemouth,2023,12
United Kingdom,England,Brent,2023,12
United Kingdom,England,Brighton and Hove,2023,12
United Kingdom,England,Bristol,2023,12
United Kingdom,England,Bromley,2023,12
United Kingdom,England,Buckinghamshire,2023,12
United Kingdom,England,Cambridgeshire,2023,12
United Kingdom,England,Camden,2023,12
United Kingdom,England,Cheshire,2023,12
United Kingdom,England,Cornwall,2023,12
United Kingdom,England,Croydon,2023,12
United Kingdom,England,Cumbria,2023,12
United Kingdom,England,Darlington,2023,12
United Kingdom,England,Derby,2023,12
United Kingdom,England,Derbyshire,2023,12
United Kingdom,England,Devon,2023,12
United Kingdom,England,Dorset,2023,12
United Kingdom,England,Durham,2023,12
United Kingdom,England,Ealing,2023,12
United Kingdom,England,East Riding of Yorkshire,2023,12
United Kingdom,England,East Sussex,2023,12
United Kingdom,England,Enfield,2023,12
United Kingdom,England,Essex,2023,12
United Kingdom,England,Gloucestershire,2023,12
United Kingdom,England,Greenwich,2023,12
United Kingdom,England,Hackney,2023,12
United Kingdom,England,Halton,2023,12
United Kingdom,England,Hammersmith and Fulham,2023,12
United Kingdom,England,Hampshire,2023,12
United Kingdom,England,Haringey,2023,12
United Kingdom,England,Harrow,2023,12
United Kingdom,England,Hartlepool,2023,12
United Kingdom,England,Havering,2023,12
United Kingdom,England,Herefordshire,2023,12
United Kingdom,England,Hertfordshire,2023,12
United Kingdom,England,Hillingdon,2023,12
United Kingdom,England,Hounslow,2023,12
United Kingdom,England,Isle of Wight,2023,12
United Kingdom,England,Islington,2023,12
United Kingdom,England,Kensington and Chelsea,2023,12
United Kingdom,England,Kent,2023,12
United Kingdom,England,Kingston upon Hull,2023,12
United Kingdom,England,Kingston upon Thames,2023,12
United Kingdom,England,Lambeth,2023,12
United Kingdom,England,Lancashire,2023,12
United Kingdom,England,Leicester,2023,12
United Kingdom,England,Leicestershire,2023,12
United Kingdom,England,Lewisham,2023,12
United Kingdom,England,Lincolnshire,2023,12
United Kingdom,England,London,2023,12
United Kingdom,England,Luton,2023,12
United Kingdom,England,Manchester,2023,12
United Kingdom,England,Medway,2023,12
United Kingdom,England,Merseyside,2023,12
United Kingdom,England,Merton,2023,12
United Kingdom,England,Middlesbrough,2023,12
United Kingdom,England,Milton Keynes,2023,12
United Kingdom,England,Newham,2023,12
United Kingdom,England,Norfolk,2023,12
United Kingdom,England,North East Lincolnshire,2023,12
United Kingdom,England,North Lincolnshire,2023,12
United Kingdom,England,North Somerset,2023,12
United Kingdom,England,North Yorkshire,2023,12
United Kingdom,England,Northamptonshire,2023,12
United Kingdom,England,Northumberland,2023,12
United Kingdom,England,Nottingham,2023,12
United Kingdom,England,Nottinghamshire,2023,12
United Kingdom,England,Oxfordshire,2023,12
United Kingdom,England,Peterborough,2023,12
United Kingdom,England,Plymouth,2023,12
United Kingdom,England,Poole,2023,12
United Kingdom,England,Portsmouth,2023,12
United Kingdom,England,Redbridge,2023,12
United Kingdom,England,Redcar and Cleveland,2023,12
United Kingdom,England,Richmond upon Thames,2023,12
United Kingdom,England,Rutland,2023,12
United Kingdom,England,Shropshire,2023,12
United Kingdom,England,Somerset,2023,12
United Kingdom,England,South Gloucestershire,2023,12
United Kingdom,England,South Yorkshire,2023,12
United Kingdom,England,Southampton,2023,12
United Kingdom,England,Southend-on-Sea,2023,12
United Kingdom,England,Southwark,2023,12
United Kingdom,England,Staffordshire,2023,12
United Kingdom,England,Stockton-on-Tees,2023,12
United Kingdom,England,Stoke-on-Trent,2023,12
United Kingdom,England,Suffolk,2023,12
United Kingdom,England,Surrey,2023,12
United Kingdom,England,Sutton,2023,12
United Kingdom,England,Swindon,2023,12
United Kingdom,England,Telford and Wrekin,2023,12
United Kingdom,England,Thurrock,2023,12
United Kingdom,England,Torbay,2023,12
United Kingdom,England,Tower Hamlets,2023,12
United Kingdom,England,Tyne and Wear,2023,12
United Kingdom,England,Waltham Forest,2023,12
United Kingdom,England,Wandsworth,2023,12
United Kingdom,England,Warrington,2023,12
United Kingdom,England,Warwickshire,2023,12
United Kingdom,England,West Midlands,2023,12
United Kingdom,England,West Sussex,2023,12
United Kingdom,England,West Yorkshire,2023,12
United Kingdom,England,Westminster,2023,12
United Kingdom,England,Wiltshire,2023,12
United Kingdom,England,Worcestershire,2023,12
United Kingdom,England,York,2023,12
United Kingdom,Northern Ireland,Antrim,2023,12
United Kingdom,Northern Ireland,Ards,2023,12
United Kingdom,Northern Ireland,Armagh,2023,12
United Kingdom,Northern Ireland,Ballymena,2023,12
United Kingdom,Northern Ireland,Ballymoney,2023,12
United Kingdom,Northern Ireland,Banbridge,2023,12
United Kingdom,Northern Ireland,Belfast,2023,12
United Kingdom,Northern Ireland,Carrickfergus,2023,12
United Kingdom,Northern Ireland,Castlereagh,2023,12
United Kingdom,Northern Ireland,Coleraine,2023,12
United Kingdom,Northern Ireland,Cookstown,2023,12
United Kingdom,Northern Ireland,Craigavon,2023,12
United Kingdom,Northern Ireland,Derry,2023,12
United Kingdom,Northern Ireland,Down,2023,12
United Kingdom,Northern Ireland,Dungannon,2023,12
United Kingdom,Northern Ireland,Fermanagh,2023,12
United Kingdom,Northern Ireland,Larne,2023,12
United Kingdom,Northern Ireland,Limavady,2023,12
United Kingdom,Northern Ireland,Lisburn,2023,12
United Kingdom,Northern Ireland,Magherafelt,2023,12
United Kingdom,Northern Ireland,Moyle,2023,12
United Kingdom,Northern Ireland,Newry and Mourne,2023,12
United Kingdom,Northern Ireland,Newtownabbey,2023,12
United Kingdom,Northern Ireland,North Down,2023,12
United Kingdom,Northern Ireland,Omagh,2023,12
United Kingdom,Northern Ireland,Strabane,2023,12
United Kingdom,Scotland,Aberdeen,2023,12
United Kingdom,Scotland,Aberdeenshire,2023,12
United Kingdom,Scotland,Angus,2023,12
United Kingdom,Scotland,Argyll and Bute,2023,12
United Kingdom,Scotland,Clackmannanshire,2023,12
United Kingdom,Scotland,Dumfries and Galloway,2023,12
United Kingdom,Scotland,Dundee,2023,12
United Kingdom,Scotland,East Ayrshire,2023,12
United Kingdom,Scotland,East Dunbartonshire,2023,12
United Kingdom,Scotland,East Lothian,2023,12
United Kingdom,Scotland,East Renfrewshire,2023,12
United Kingdom,Scotland,Edinburgh,2023,12
United Kingdom,Scotland,Eilean Siar,2023,12
United Kingdom,Scotland,Falkirk,2023,12
United Kingdom,Scotland,Fife,2023,12
United Kingdom,Scotland,Glasgow,2023,12
United Kingdom,Scotland,Highland,2023,12
United Kingdom,Scotland,Inverclyde,2023,12
United Kingdom,Scotland,Midlothian,2023,12
United Kingdom,Scotland,Moray,2023,12
United Kingdom,Scotland,North Ayshire,2023,12
United Kingdom,Scotland,North Lanarkshire,2023,12
United Kingdom,Scotland,Orkney Islands,2023,12
United Kingdom,Scotland,Perthshire and Kinross,2023,12
United Kingdom,Scotland,Renfrewshire,2023,12
United Kingdom,Scotland,Scottish Borders,2023,12
United Kingdom,Scotland,Shetland Islands,2023,12
United Kingdom,Scotland,South Ayrshire,2023,12
United Kingdom,Scotland,South Lanarkshire,2023,12
United Kingdom,Scotland,Stirling,2023,12
United Kingdom,Scotland,West Dunbartonshire,2023,12
United Kingdom,Scotland,West Lothian,2023,12
United Kingdom,Wales,Anglesey,2023,12
United Kingdom,Wales,Blaenau Gwent,2023,12
United Kingdom,Wales,Bridgend,2023,12
United Kingdom,Wales,Caerphilly,2023,12
United Kingdom,Wales,Cardiff,2023,12
United Kingdom,Wales,Carmarthenshire,2023,12
United Kingdom,Wales,Ceredigion,2023,12
United Kingdom,Wales,Conwy,2023,12
