country_iso_name,name_1,name_2,year,month
South Africa,Eastern Cape,Adelaide,2023,12
South Africa,Eastern Cape,Albany,2023,12
South Africa,Eastern Cape,Albert,2023,12
South Africa,Eastern Cape,Aliwal North,2023,12
South Africa,Eastern Cape,Barkly East,2023,12
South Africa,Eastern Cape,Bathurst,2023,12
South Africa,Eastern Cape,Butterworth,2023,12
South Africa,Eastern Cape,Cala,2023,12
South Africa,Eastern Cape,Cofimvaba,2023,12
South Africa,Eastern Cape,Cradock,2023,12
South Africa,Eastern Cape,East London,2023,12
South Africa,Eastern Cape,Elliot,2023,12
South Africa,Eastern Cape,Fort Beaufort,2023,12
South Africa,Eastern Cape,Graaff-Reinet,2023,12
South Africa,Eastern Cape,Hankey,2023,12
South Africa,Eastern Cape,Humansdorp,2023,12
South Africa,Eastern Cape,Kirkwood,2023,12
South Africa,Eastern Cape,Lady Frere,2023,12
South Africa,Eastern Cape,Lady Grey,2023,12
South Africa,Eastern Cape,Lusikisiki,2023,12
South Africa,Eastern Cape,Maclear,2023,12
South Africa,Eastern Cape,Middelburg,2023,12
South Africa,Eastern Cape,Molteno,2023,12
South Africa,Eastern Cape,Mt  Fletcher,2023,12
South Africa,Eastern Cape,Mt Frere,2023,12
South Africa,Eastern Cape,Port Elizabeth,2023,12
South Africa,Eastern Cape,Port St Johns,2023,12
South Africa,Eastern Cape,Queenstown,2023,12
South Africa,Eastern Cape,Qumbu,2023,12
South Africa,Eastern Cape,Somerset East,2023,12
South Africa,Eastern Cape,Stutterheim,2023,12
South Africa,Eastern Cape,Uitenhage,2023,12
South Africa,Eastern Cape,Umtata,2023,12
South Africa,Eastern Cape,Victoria East,2023,12
South Africa,Eastern Cape,Willowmore,2023,12
South Africa,Eastern Cape,Zwelitsha,2023,12
South Africa,Gauteng,Alberton,2023,12
South Africa,Gauteng,Benoni,2023,12
South Africa,Gauteng,Boksburg,2023,12
South Africa,Gauteng,Brakpan,2023,12
South Africa,Gauteng,Bronkhorstspruit,2023,12
South Africa,Gauteng,Cullinan,2023,12
South Africa,Gauteng,Germiston,2023,12
South Africa,Gauteng,Heidelberg,2023,12
South Africa,Gauteng,Johannesburg,2023,12
South Africa,Gauteng,Kempton Park,2023,12
South Africa,Gauteng,Krugersdorp,2023,12
South Africa,Gauteng,Nigel,2023,12
South Africa,Gauteng,Oberholzer,2023,12
South Africa,Gauteng,Pretoria,2023,12
South Africa,Gauteng,Randburg,2023,12
South Africa,Gauteng,Randfontein,2023,12
South Africa,Gauteng,Roodepoort,2023,12
South Africa,Gauteng,Soshanguve,2023,12
South Africa,Gauteng,Soweto,2023,12
South Africa,Gauteng,Springs,2023,12
South Africa,Gauteng,Vanderbijlpark,2023,12
South Africa,Gauteng,Vereeniging,2023,12
South Africa,Gauteng,Westonaria,2023,12
South Africa,Gauteng,Wonderboom,2023,12
South Africa,KwaZulu-Natal,Alfred,2023,12
South Africa,KwaZulu-Natal,Bergville,2023,12
South Africa,KwaZulu-Natal,Camperdown,2023,12
South Africa,KwaZulu-Natal,Dannhauser,2023,12
South Africa,KwaZulu-Natal,Dundee,2023,12
South Africa,KwaZulu-Natal,Durban,2023,12
South Africa,KwaZulu-Natal,Eshowe,2023,12
South Africa,KwaZulu-Natal,Estcourt,2023,12
South Africa,KwaZulu-Natal,Glencoe,2023,12
South Africa,KwaZulu-Natal,Hlabisa,2023,12
South Africa,KwaZulu-Natal,Inanda,2023,12
South Africa,KwaZulu-Natal,Ingwavuma,2023,12
South Africa,KwaZulu-Natal,Ixopo,2023,12
South Africa,KwaZulu-Natal,Kliprivier,2023,12
South Africa,KwaZulu-Natal,Lions River,2023,12
South Africa,KwaZulu-Natal,Lower Tugela,2023,12
South Africa,KwaZulu-Natal,Lower Umfolozi,2023,12
South Africa,KwaZulu-Natal,Mhlabathini,2023,12
South Africa,KwaZulu-Natal,Mooi,2023,12
South Africa,KwaZulu-Natal,Mount Currie,2023,12
South Africa,KwaZulu-Natal,Mtunzini,2023,12
South Africa,KwaZulu-Natal,Ndwedwe,2023,12
South Africa,KwaZulu-Natal,New Hanover,2023,12
South Africa,KwaZulu-Natal,Newcastle,2023,12
South Africa,KwaZulu-Natal,Nkandla,2023,12
South Africa,KwaZulu-Natal,Nongoma,2023,12
South Africa,KwaZulu-Natal,Nqutu,2023,12
South Africa,KwaZulu-Natal,Paulpietersburg,2023,12
South Africa,KwaZulu-Natal,Pietermaritzburg,2023,12
South Africa,KwaZulu-Natal,Pinetown,2023,12
South Africa,KwaZulu-Natal,Port Shepstone,2023,12
South Africa,KwaZulu-Natal,Richmond,2023,12
South Africa,KwaZulu-Natal,Simdlangentsha,2023,12
South Africa,KwaZulu-Natal,Ubombo,2023,12
South Africa,KwaZulu-Natal,Umlazi,2023,12
South Africa,KwaZulu-Natal,Umvoti,2023,12
South Africa,KwaZulu-Natal,Umzinto,2023,12
South Africa,KwaZulu-Natal,Underberg,2023,12
South Africa,KwaZulu-Natal,Utrecht,2023,12
South Africa,KwaZulu-Natal,Vryheid,2023,12
South Africa,Limpopo,Bochum,2023,12
South Africa,Limpopo,Ellisras,2023,12
South Africa,Limpopo,Giyani,2023,12
South Africa,Limpopo,Letaba,2023,12
South Africa,Limpopo,Messina,2023,12
South Africa,Limpopo,Mhala,2023,12
South Africa,Limpopo,Mokerong,2023,12
South Africa,Limpopo,Mutali,2023,12
South Africa,Limpopo,Phalaborwa,2023,12
South Africa,Limpopo,Pietersburg,2023,12
South Africa,Limpopo,Ritavi,2023,12
South Africa,Limpopo,Sekhukhuneland,2023,12
South Africa,Limpopo,Soutpansberg,2023,12
South Africa,Limpopo,Thabamoopo,2023,12
South Africa,Limpopo,Thabazimbi,2023,12
South Africa,Limpopo,Thohoyandou,2023,12
South Africa,Limpopo,Warmbad,2023,12
South Africa,Limpopo,Waterberg,2023,12
South Africa,Mpumalanga,Balfour,2023,12
South Africa,Mpumalanga,Barberton,2023,12
South Africa,Mpumalanga,Belfast,2023,12
South Africa,Mpumalanga,Bethal,2023,12
South Africa,Mpumalanga,Carolina,2023,12
South Africa,Mpumalanga,Delmas,2023,12
South Africa,Mpumalanga,Ermelo,2023,12
South Africa,Mpumalanga,Groblersdal,2023,12
South Africa,Mpumalanga,Highveld Ridge,2023,12
South Africa,Mpumalanga,Kriel,2023,12
South Africa,Mpumalanga,KwaMhlanga,2023,12
South Africa,Mpumalanga,Lydenburg,2023,12
South Africa,Mpumalanga,Mdutjana,2023,12
South Africa,Mpumalanga,Middelburg,2023,12
South Africa,Mpumalanga,Nelspruit,2023,12
South Africa,Mpumalanga,Nsikazi,2023,12
South Africa,Mpumalanga,Piet Retief,2023,12
South Africa,Mpumalanga,Standerton,2023,12
South Africa,Mpumalanga,Volksrust,2023,12
South Africa,Mpumalanga,Wakkerstroom,2023,12
South Africa,Mpumalanga,Witbank,2023,12
South Africa,Mpumalanga,Witrivier,2023,12
South Africa,North West,Brits,2023,12
South Africa,North West,Christiana,2023,12
South Africa,North West,Delareyville,2023,12
South Africa,North West,Ga-Rankuwa,2023,12
South Africa,North West,Huhudi,2023,12
South Africa,North West,Klerksdorp,2023,12
South Africa,North West,Lichtenburg,2023,12
South Africa,North West,Madikwe,2023,12
South Africa,North West,Mankwe,2023,12
South Africa,North West,Mmabatho,2023,12
South Africa,North West,Phokwani,2023,12
South Africa,North West,Potchefstroom,2023,12
South Africa,North West,Rustenburg,2023,12
South Africa,North West,Schweizer-Reneke,2023,12
South Africa,North West,Temba,2023,12
South Africa,North West,Ventersdorp,2023,12
South Africa,North West,Vryburg,2023,12
South Africa,North West,Wolmaransstad,2023,12
South Africa,Northern Cape,Barkly West,2023,12
South Africa,Northern Cape,Britstown,2023,12
South Africa,Northern Cape,Calvinia,2023,12
South Africa,Northern Cape,Carnarvon,2023,12
South Africa,Northern Cape,Colesberg,2023,12
South Africa,Northern Cape,De Aar,2023,12
South Africa,Northern Cape,Fraserburg,2023,12
South Africa,Northern Cape,Gordonia,2023,12
South Africa,Northern Cape,Hartswater,2023,12
South Africa,Northern Cape,Hopetown,2023,12
South Africa,Northern Cape,Kenhardt,2023,12
South Africa,Northern Cape,Kimberley,2023,12
South Africa,Northern Cape,Kuruman,2023,12
South Africa,Northern Cape,Namakwaland,2023,12
South Africa,Northern Cape,Postmasburg,2023,12
South Africa,Northern Cape,Victoria-West,2023,12
South Africa,Northern Cape,Warrenton,2023,12
South Africa,Northern Cape,Williston,2023,12
South Africa,Orange Free State,Bethlehem,2023,12
South Africa,Orange Free State,Bloemfontein,2023,12
South Africa,Orange Free State,Boshof,2023,12
South Africa,Orange Free State,Bothaville,2023,12
South Africa,Orange Free State,Botshabelo,2023,12
South Africa,Orange Free State,Brandfort,2023,12
South Africa,Orange Free State,Bultfontein,2023,12
South Africa,Orange Free State,Clocolan,2023,12
South Africa,Orange Free State,Dewetsdorp,2023,12
South Africa,Orange Free State,Ficksburg,2023,12
South Africa,Orange Free State,Frankfort,2023,12
South Africa,Orange Free State,Harrismith,2023,12
South Africa,Orange Free State,Heilbron,2023,12
South Africa,Orange Free State,Hoopstad,2023,12
South Africa,Orange Free State,Koffiefontein,2023,12
South Africa,Orange Free State,Koppies,2023,12
South Africa,Orange Free State,Kroonstad,2023,12
South Africa,Orange Free State,Ladybrand,2023,12
South Africa,Orange Free State,Lindley,2023,12
South Africa,Orange Free State,Marquard,2023,12
South Africa,Orange Free State,Odendaalsrus,2023,12
South Africa,Orange Free State,Parys,2023,12
South Africa,Orange Free State,Reitz,2023,12
South Africa,Orange Free State,Sasolburg,2023,12
South Africa,Orange Free State,Senekal,2023,12
South Africa,Orange Free State,Thaba'Nchu,2023,12
South Africa,Orange Free State,Theunissen,2023,12
South Africa,Orange Free State,Trompsburg,2023,12
South Africa,Orange Free State,Ventersburg,2023,12
South Africa,Orange Free State,Viljoenskroon,2023,12
South Africa,Orange Free State,Virginia,2023,12
South Africa,Orange Free State,Vrede,2023,12
South Africa,Orange Free State,Vredefort,2023,12
South Africa,Orange Free State,Welkom,2023,12
South Africa,Orange Free State,Winburg,2023,12
South Africa,Orange Free State,Witsieshoek,2023,12
South Africa,Western Cape,Beaufort West,2023,12
South Africa,Western Cape,Bellville,2023,12
South Africa,Western Cape,Bredasdorp,2023,12
South Africa,Western Cape,Caledon,2023,12
South Africa,Western Cape,Calitzdorp,2023,12
South Africa,Western Cape,Cape,2023,12
South Africa,Western Cape,Ceres,2023,12
South Africa,Western Cape,Clanwilliam,2023,12
South Africa,Western Cape,George,2023,12
South Africa,Western Cape,Goodwood,2023,12
South Africa,Western Cape,Hermanus,2023,12
South Africa,Western Cape,Knysna,2023,12
South Africa,Western Cape,Kuils River,2023,12
South Africa,Western Cape,Malmesbury,2023,12
South Africa,Western Cape,Mitchells Plain,2023,12
South Africa,Western Cape,Montagu,2023,12
South Africa,Western Cape,Moorreesburg,2023,12
South Africa,Western Cape,Mossel,2023,12
South Africa,Western Cape,Oudtshoorn,2023,12
South Africa,Western Cape,Paarl,2023,12
South Africa,Western Cape,Piketberg,2023,12
South Africa,Western Cape,Prince Albert,2023,12
South Africa,Western Cape,Riversdal,2023,12
South Africa,Western Cape,Robertson,2023,12
South Africa,Western Cape,Simon Town,2023,12
South Africa,Western Cape,Somerset West,2023,12
South Africa,Western Cape,Stellenbosch,2023,12
South Africa,Western Cape,Strand,2023,12
South Africa,Western Cape,Swellendam,2023,12
South Africa,Western Cape,Vredenburg,2023,12
South Africa,Western Cape,Vredendal,2023,12
South Africa,Western Cape,Worcester,2023,12
South Africa,Western Cape,Wynberg,2023,12
