country_iso_name,name_1,name_2,country_iso_three_char_code,adm1id,adm2id,year,month,rtt_var_norm,rtt_mean_norm,connectivity_out_2sd,latency_out_3sd,rtt_d,rtt_dp
China,Shandong,Jinan,CHN,CHN-24,CHN-24-249,2023,12,5413.2905,252.67741,0,0,66.844086,26.454317
China,Jilin,Changchun,CHN,CHN-17,CHN-17-189,2023,12,8312.2256,249.64516,0,0,63.811829,25.561012
China,Gansu,Jiuquan,CHN,CHN-5,CHN-5-34,2023,12,7905.7417,236.2258,0,0,50.392471,21.332333
China,Henan,Zhengzhou,CHN,CHN-12,CHN-12-129,2023,12,6032.3872,264.35483,0,0,78.5215,29.70307
China,Sichuan,Liangshan Yi,CHN,CHN-27,CHN-27-282,2023,12,7478.3228,282.5484,0,0,96.715073,34.229561
China,Nei Mongol,Ordos,CHN,CHN-19,CHN-19-215,2023,12,8134.4517,276,0,0,90.166672,32.669083
China,Jilin,Tonghua,CHN,CHN-17,CHN-17-194,2023,12,7302.9033,229.19354,0,0,43.360214,18.918602
China,Sichuan,Nanchong,CHN,CHN-27,CHN-27-286,2023,12,5511.4839,288.70969,0,0,102.87636,35.633152
China,Sichuan,Luzhou,CHN,CHN-27,CHN-27-283,2023,12,5581.3872,217.67741,0,0,31.844086,14.629026
China,Hubei,Qianjiang,CHN,CHN-13,CHN-13-138,2023,12,5543.1289,216.16129,0,0,30.327957,14.030245
China,Shandong,Linyi,CHN,CHN-24,CHN-24-253,2023,12,6377.3872,253.45161,6,0,67.618286,26.678972
China,Hubei,Jingmen,CHN,CHN-13,CHN-13-136,2023,12,6667.0967,267.5484,0,0,81.715073,30.542164
China,Liaoning,Shenyang,CHN,CHN-18,CHN-18-207,2023,12,7140.0645,256.64517,0,0,70.811844,27.591341
China,Shandong,Weifang,CHN,CHN-24,CHN-24-257,2023,12,5558.4839,255.80646,0,0,69.973129,27.353933
China,Hunan,Changsha,CHN,CHN-14,CHN-14-150,2023,12,6605.645,266.2258,0,0,80.392471,30.1971
China,Chongqing,Chongqing,CHN,CHN-3,CHN-3-19,2023,12,7227.3872,258.93549,0,0,73.102158,28.231804
