country_iso_name,name_1,name_2,country_iso_three_char_code,ADM1ID,ADM2ID,year,month,rtt_var_norm,rtt_mean_norm,connectivity_out_2sd,latency_out_3sd,rtt_d,rtt_dp
United States,Iowa,Lee,USA,USA-16,USA-16-844,2023,12,2857.225806451613,182.80646,0,0,15.516129,8.4877357
United States,West Virginia,Mason,USA,USA-49,USA-49-3019,2023,12,3501.290322580645,179.93549,23,0,12.645157,7.027606
United States,Nebraska,Johnson,USA,USA-28,USA-28-1705,2023,12,3039.41935483871,183.06451,0,0,15.774185,8.6167355
United States,Texas,Hemphill,USA,USA-44,USA-44-2633,2023,12,4078.903225806452,196.45161,0,0,29.161285,14.844004
United States,Arkansas,Nevada,USA,USA-4,USA-4-158,2023,12,5909.903225806452,220.7742,0,0,53.483871,24.225599
United States,Colorado,Delta,USA,USA-6,USA-6-257,2023,12,4876.548387096775,210.87097,0,1,43.580643,20.666971
United States,Minnesota,Yellow Medicine,USA,USA-24,USA-24-1404,2023,12,3867.483870967742,214.83871,0,0,47.548386,22.132132
United States,Iowa,Sioux,USA,USA-16,USA-16-872,2023,12,3152.709677419355,187,0,0,19.709671,10.539931
United States,Georgia,Wayne,USA,USA-11,USA-11-535,2023,12,3813.903225806452,197.7742,0,0,30.483871,15.413472
United States,New Mexico,Dona Ana,USA,USA-32,USA-32-1805,2023,12,3787.548387096774,205.3871,0,0,38.096771,18.548765
United States,Nebraska,Brown,USA,USA-28,USA-28-1665,2023,12,2782.483870967742,193.41936,0,0,26.129028,13.509004
United States,Indiana,Marion,USA,USA-15,USA-15-745,2023,12,4240.709677419355,186.16129,0,0,18.870956,10.136886
United States,Georgia,Decatur,USA,USA-11,USA-11-427,2023,12,3994.451612903226,190.09677,31,0,22.806442,11.99728
United States,Texas,Bexar,USA,USA-44,USA-44-2542,2023,12,4877.580645161291,202.74193,0,4,35.451599,17.486073
United States,Oklahoma,Lincoln,USA,USA-37,USA-37-2176,2023,12,3364.645161290322,184.90323,0,0,17.6129,9.5254688
United States,Tennessee,Cocke,USA,USA-43,USA-43-2447,2023,12,3092.516129032258,178.96774,0,0,11.677414,6.5248709
United States,Tennessee,Smith,USA,USA-43,USA-43-2512,2023,12,3553.322580645161,186.67741,0,0,19.387085,10.385341
United States,Oregon,Polk,USA,USA-38,USA-38-2239,2023,12,5256.741935483871,212.67741,0,0,45.387085,21.340811
United States,Iowa,Wright,USA,USA-16,USA-16-887,2023,12,6530.064516129032,217.90323,0,0,50.6129,23.227238
United States,North Carolina,Johnston,USA,USA-34,USA-34-1944,2023,12,4005.870967741936,185.32259,3,0,18.032257,9.7301998
United States,Missouri,Maries,USA,USA-26,USA-26-1548,2023,12,3214.83870967742,182.12903,5,1,14.838699,8.1473551
United States,Alabama,Geneva,USA,USA-1,USA-1-31,2023,12,4128.193548387097,209.51613,0,4,42.2258,20.153961
United States,Indiana,Carroll,USA,USA-15,USA-15-703,2023,12,4950.83870967742,201.35484,0,0,34.064514,16.917654
United States,Oklahoma,Osage,USA,USA-37,USA-37-2192,2023,12,4063.612903225806,203.2258,31,0,35.935471,17.682533
United States,Missouri,Cedar,USA,USA-26,USA-26-1506,2023,12,5004.935483870968,199.41936,23,1,32.129028,16.111288
United States,New Jersey,Bergen,USA,USA-31,USA-31-1778,2023,12,3746.129032258064,186.51613,0,1,19.2258,10.307848
United States,New Mexico,McKinley,USA,USA-32,USA-32-1815,2023,12,4750.225806451613,205.51613,0,0,38.2258,18.599903
United States,Wyoming,Converse,USA,USA-51,USA-51-3127,2023,12,3398.16129032258,205.35484,0,0,38.064514,18.535971
United States,Tennessee,Dyer,USA,USA-43,USA-43-2455,2023,12,3828.225806451613,196.25807,0,0,28.967743,14.760026
United States,Ohio,Pike,USA,USA-36,USA-36-2113,2023,12,3810.677419354839,194.67741,0,0,27.387085,14.067931
United States,Texas,Gonzales,USA,USA-44,USA-44-2616,2023,12,3824.16129032258,192.32259,0,0,25.032257,13.015765
United States,North Carolina,Duplin,USA,USA-34,USA-34-1924,2023,12,4031.741935483871,190.51613,0,0,23.2258,12.190989
United States,Kansas,McPherson,USA,USA-17,USA-17-946,2023,12,3301.548387096774,197,0,0,29.709671,15.081051
United States,Georgia,Heard,USA,USA-11,USA-11-458,2023,12,4155.096774193548,186.64516,0,0,19.354828,10.369853
United States,Vermont,Rutland,USA,USA-46,USA-46-2821,2023,12,3510.612903225806,183.87097,0,0,16.580643,9.0175419
United States,Oklahoma,Kay,USA,USA-37,USA-37-2171,2023,12,3676.258064516129,199.2258,0,0,31.935471,16.029787
United States,Ohio,Shelby,USA,USA-36,USA-36-2122,2023,12,3835.322580645161,192.25807,0,0,24.967743,12.986577
United States,West Virginia,Lewis,USA,USA-49,USA-49-3014,2023,12,4983.419354838709,183.2258,0,0,15.935471,8.697176
United States,Louisiana,Plaquemines,USA,USA-19,USA-19-1150,2023,12,4030.483870967742,197.19354,0,0,29.903214,15.164398
United States,Colorado,Arapahoe,USA,USA-6,USA-6-244,2023,12,3470.387096774194,185.12903,0,0,17.838699,9.6358194
United States,Idaho,Power,USA,USA-13,USA-13-587,2023,12,2748.032258064516,190.45161,0,0,23.161285,12.161244
United States,Tennessee,Fayette,USA,USA-43,USA-43-2456,2023,12,3815.322580645161,193.96774,31,0,26.677414,13.753531
United States,Missouri,Buchanan,USA,USA-26,USA-26-1497,2023,12,4155.903225806452,197.7742,0,0,30.483871,15.413472
United States,Missouri,Platte,USA,USA-26,USA-26-1569,2023,12,3023.129032258064,181.06451,0,0,13.774185,7.6073356
United States,Indiana,Pike,USA,USA-15,USA-15-759,2023,12,2706.516129032258,178.48387,0,0,11.193542,6.2714586
United States,Idaho,Shoshone,USA,USA-13,USA-13-588,2023,12,6154.870967741936,216.06451,0,0,48.774185,22.573898
United States,Maryland,Garrett,USA,USA-21,USA-21-1203,2023,12,4723.967741935484,182.96774,0,0,15.677414,8.5684032
United States,Nebraska,Cherry,USA,USA-28,USA-28-1672,2023,12,2689.290322580645,200.25807,3,0,32.967743,16.462629
United States,Florida,Orange,USA,USA-10,USA-10-365,2023,12,4458.548387096775,184.51613,0,0,17.2258,9.3356609
United States,Iowa,Buena Vista,USA,USA-16,USA-16-799,2023,12,3968.58064516129,200.74193,0,1,33.451599,16.663982
United States,Illinois,Piatt,USA,USA-14,USA-14-667,2023,12,3823.064516129032,184.12903,0,0,16.838699,9.1450539
United States,Illinois,McDonough,USA,USA-14,USA-14-655,2023,12,3712.354838709678,187.93549,0,0,20.645157,10.985236
United States,Georgia,Chattooga,USA,USA-11,USA-11-411,2023,12,4513.516129032259,179.48387,4,0,12.193542,6.7936702
United States,Pennsylvania,Lancaster,USA,USA-39,USA-39-2284,2023,12,3836.290322580645,191.93549,0,0,24.645157,12.840334
United States,Oregon,Linn,USA,USA-38,USA-38-2234,2023,12,4423.967741935484,208.87097,31,0,41.580643,19.907335
United States,Minnesota,Hubbard,USA,USA-24,USA-24-1345,2023,12,4019.032258064516,197.67741,6,9,30.387085,15.372057
United States,Colorado,Douglas,USA,USA-6,USA-6-260,2023,12,4843.354838709677,201.6129,0,0,34.322571,17.023996
United States,Arkansas,Marion,USA,USA-4,USA-4-153,2023,12,3834.83870967742,197.96774,0,0,30.677414,15.496168
United States,Ohio,Ashland,USA,USA-36,USA-36-2049,2023,12,3072.741935483871,185.70967,0,0,18.419342,9.918354
United States,Minnesota,Sherburne,USA,USA-24,USA-24-1388,2023,12,3204,186.54839,0,0,19.258057,10.323358
United States,Minnesota,Lincoln,USA,USA-24,USA-24-1358,2023,12,5603.483870967741,206.90323,0,0,39.6129,19.145617
United States,North Carolina,Lee,USA,USA-34,USA-34-1946,2023,12,4561.709677419355,192.06451,0,0,24.774185,12.898888
United States,Kansas,Morris,USA,USA-17,USA-17-951,2023,12,5899,195.54839,0,0,28.258057,14.450672
United States,Texas,Moore,USA,USA-44,USA-44-2698,2023,12,3309.870967741936,197.80646,0,0,30.516129,15.427266
United States,Virginia,Prince George,USA,USA-47,USA-47-2923,2023,12,3304.451612903226,198.16129,31,1,30.870956,15.578702
United States,Oklahoma,Stephens,USA,USA-37,USA-37-2204,2023,12,3402.83870967742,198.45161,0,0,31.161285,15.702209
United States,Georgia,Gwinnett,USA,USA-11,USA-11-451,2023,12,3789.032258064516,181.83871,0,0,14.548386,8.0007086
United States,Florida,Glades,USA,USA-10,USA-10-338,2023,12,5509.645161290323,193.6129,0,0,26.322571,13.595464
United States,Ohio,Paulding,USA,USA-36,USA-36-2110,2023,12,3723.967741935484,191.64516,3,0,24.354828,12.708293
United States,California,Yuba,USA,USA-5,USA-5-241,2023,12,4590.580645161291,212.74193,0,0,45.451599,21.364664
United States,Ohio,Ashtabula,USA,USA-36,USA-36-2050,2023,12,3832.645161290322,188.74193,0,0,21.451599,11.365572
United States,Oklahoma,Cimarron,USA,USA-37,USA-37-2148,2023,12,3000.806451612903,188.48387,0,0,21.193542,11.244221
United States,Alabama,Dallas,USA,USA-1,USA-1-24,2023,12,3682,187.90323,0,0,20.6129,10.969955
